identity_key,molecule_name,formula,rows,primary_rows,sources,energy_min_eV,energy_max_eV,primary_energy_max_eV,cv_fold,raw_primary_nmae_percent,raw_whole_nmae_percent,constant_primary_nmae_percent,constant_whole_nmae_percent,ml_primary_nmae_percent,ml_whole_nmae_percent,improvement_pp
hexafluoroethane,perfluoroethane,C2F6,73,64,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\014_C2F6_BEB_vs_experiment.csv""]",16.1452,250.134,96.6964,4,7.184538901306602,6.733121941695809,7.211604323744353,7.520448961909798,8.304988981804543,7.207981534805402,-1.1204500804979416
hydrogen,hydrogen,H2,49,21,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\015_H2_BEB_vs_experiment.csv""]",16.0171,298.389,59.9823,4,2.5737047153538737,5.376182874808865,4.800921119111991,7.581316506325384,3.074525404770682,6.381512755224226,-0.5008206894168081
hydrogen-sulfide,hydrogen sulfide,H2S,46,29,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\016_H2S_BEB_vs_experiment.csv""]",11.0278,299.601,60.0621,4,23.225633004844433,19.535366799300416,22.756128583163505,19.866349695442942,22.587700948314833,19.932149111009018,0.6379320565295998
isobutyraldehyde,isobutyraldehyde,C4H8O,55,17,"[""${PROJECT_ROOT}\\data\\processed\\qec_low_energy_priority_curve_points_2026_07_26.csv""]",15.0,285.0,95.0,2,7.016860463181546,10.460619086312018,4.0974890429630575,7.448053334713409,4.488089815792825,3.568553518543079,2.528770647388721
isopropyl-acetate,isopropyl acetate,C5H10O2,55,20,"[""${ARCHIVE_ROOT}\\outputs\\no_qec_priority_2026_07_31\\ready15_esters_experiment_beb\\paired_curves\\011_isopropyl_acetate_experiment_beb_paired.csv""]",15.0,285.0,110.0,1,22.969503397249913,10.698480267116139,27.94893580864367,11.855095112139221,9.021652542001139,4.691166200279394,13.947850855248774
isopropyl-formate,isopropyl formate,C4H8O2,55,20,"[""${ARCHIVE_ROOT}\\outputs\\no_qec_priority_2026_07_31\\ready15_esters_experiment_beb\\paired_curves\\004_isopropyl_formate_experiment_beb_paired.csv""]",15.0,285.0,110.0,4,15.979834953223468,9.631672930724871,20.314781357074285,9.447876722002233,5.139165413398642,2.73148394916318,10.840669539824827
methane,methane,CH4,56,37,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\017_CH4_BEB_vs_experiment.csv""]",15.1328,298.389,80.8183,3,6.140594410965949,8.273180193569697,5.135720393303543,6.513909700326584,7.32724060940288,8.797820751961822,-1.1866461984369305
methyl-acetate,methyl acetate,C3H6O2,55,21,"[""${ARCHIVE_ROOT}\\outputs\\no_qec_priority_2026_07_31\\ready15_esters_experiment_beb\\paired_curves\\008_methyl_acetate_experiment_beb_paired.csv""]",15.0,285.0,115.0,0,15.240844495174871,9.27514172428333,20.06143034444492,9.164417380858172,12.076022977462108,8.512151896883864,3.164821517712763
methyl-formate,methyl formate,C2H4O2,55,20,"[""${ARCHIVE_ROOT}\\outputs\\no_qec_priority_2026_07_31\\ready15_esters_experiment_beb\\paired_curves\\001_methyl_formate_experiment_beb_paired.csv""]",15.0,285.0,110.0,2,21.137951025857742,8.947393908427001,25.290681317402193,10.033908963224771,4.300932713270025,2.298978682544438,16.837018312587716
methyl-radical,methyl radical,CH3,25,16,"[""${ARCHIVE_ROOT}\\outputs\\current_experiment_beb_master_2026_08_01\\nist_fast12_experiment_beb_digitized_READY_TIER_B.csv""]",11.028,190.654,70.711,0,13.461654044957324,11.988875283958174,15.415518243951842,15.183855423988351,13.71998911202916,12.65036028542518,-0.25833506707183496
